participant_id,condition,nfc_z,knowledge_z,ai_literacy_z,trust_z,calibration_z,performance,ai_error_detection,miscalibration,retention,transfer,reconstruction,t2_complete,attn_pass,css_01,css_02,css_03,css_04,css_05,css_06,css_07,css_08,css_09,css_10,css_11,css_12,css_13,css_14,css_15,css_16,css_17,css_18,css_19,css_20
0,No AI,-0.7126100426819,0.25139091712906825,-1.1140054484148352,1.366528575931636,0.8944880554963859,-0.5689314336522575,,0.0064864878724220565,-0.6140906504360666,-1.206732674335416,1.7170619295356064,True,True,3,4,1,3,3,3,3,4,2,3,2,5,3,3,3,2,4,5,3,4
1,No AI,-0.4474082703053108,0.15386870543987333,0.5238480848557884,-0.6523317160085478,1.1941954150164587,0.3080158218435366,,-0.3396690990670941,0.7263916406649474,0.4024682481230943,-0.7932152942138447,True,True,2,3,5,4,3,1,3,2,2,1,3,3,1,2,5,1,2,1,4,2
2,No AI,-1.740680867743728,1.0189750772609183,2.3753610566350147,1.709246308525741,-0.4125865152126152,1.7386096736237324,,-0.31036718154185283,-0.4517161017867988,0.756495344686566,-1.5942889925058046,True,True,2,1,4,5,2,1,4,2,2,1,4,2,3,1,5,2,2,2,5,2
3,No AI,-0.999660346295971,-0.39733431472646086,-0.3158719195280076,-1.081395519007713,-1.530698730540966,0.34089577004657645,,-0.6279735155457463,1.0560755581457923,1.2000364384563502,-0.23334988888722494,True,True,2,3,4,4,3,1,3,3,2,4,5,3,3,3,4,1,3,3,3,2
4,No AI,0.27114638070063574,-1.023886362642922,-0.6885256645968568,0.4729079530566237,0.45513988578887,2.3455626946244914,,-0.10541474631852171,-0.7530702472724109,0.2492307904622283,0.3883697881055989,True,True,3,4,2,3,3,3,2,3,4,3,3,4,4,3,1,4,3,4,4,4
5,No AI,-1.167349301987667,0.13294711654696853,0.8079588736977678,1.0739303907180597,-0.12105307844518395,0.05336487071848201,,0.8486391674317203,0.2948064872357252,0.5147074267951778,-1.4659389962701037,True,False,3,3,4,3,3,2,3,2,2,2,4,2,2,2,5,3,3,2,3,2
6,No AI,1.1320821602501387,0.46519786961528126,-1.540656128254661,-1.482206602419079,-1.5335386891008682,-0.6653439604010366,,0.7971539881320252,1.002379516620761,-0.291406036719998,-1.9335149332747437,True,True,5,4,1,2,4,5,2,4,4,4,2,5,4,5,1,5,4,5,1,5
7,No AI,0.856629655074555,0.6638992599152219,0.08227939811218977,-0.09160831429065722,-0.43455793459519854,1.3294728980830186,,-0.19255558233962586,-0.48636123254996083,0.37763740162191095,-1.7097915554336258,True,True,2,4,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,2,3,3
8,No AI,0.06417012356479601,-0.45010130408050053,1.1656745277931226,-1.862764437703324,-0.35221352785411497,-1.4116222679919992,,0.4706195547799062,-0.7118518708912482,-0.5795188280210485,-0.43054591446447815,True,True,4,3,1,2,3,3,2,4,5,4,2,3,4,4,2,4,3,4,3,3
9,No AI,-0.1721533749327814,-0.3006131009302622,-2.8430022652698423,0.5089168289574112,0.27378617658227866,2.9232446577030524,,-0.005315913582230124,,,,False,True,2,3,5,5,2,2,3,2,1,2,2,1,3,3,5,1,2,3,4,2
