n_per_group,N_total,H1a_perf,H1b_sov,H1_joint,H3a_sov,H3b_comp
20,60,0.4535,0.568,0.2605,0.692,0.5425
30,90,0.615,0.753,0.464,0.8585,0.6885
40,120,0.712,0.8425,0.6035,0.925,0.8035
50,150,0.8225,0.9075,0.75,0.97,0.8855
60,180,0.86,0.95,0.817,0.983,0.9255
70,210,0.901,0.9665,0.8705,0.997,0.957
80,240,0.931,0.9845,0.916,0.996,0.9615
90,270,0.9545,0.9915,0.9465,0.9995,0.9835
100,300,0.9685,0.994,0.963,0.9995,0.991
110,330,0.983,0.998,0.981,1.0,0.996
120,360,0.9825,0.999,0.9815,1.0,0.9975
130,390,0.988,0.9985,0.9865,1.0,0.999
140,420,0.995,1.0,0.995,1.0,0.999
150,450,0.9955,1.0,0.9955,1.0,0.9995
160,480,0.9955,1.0,0.9955,1.0,0.9995
170,510,0.998,1.0,0.998,1.0,0.9995
180,540,0.999,1.0,0.999,1.0,0.9995
190,570,1.0,1.0,1.0,1.0,1.0
200,600,1.0,1.0,1.0,1.0,1.0
210,630,0.999,0.9995,0.9985,1.0,0.9995
